City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Alta Floresta,BR,89.62,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
661,Rondonopolis,BR,87.66,broken clouds,-16.47,-54.64,Serras Hotel
665,Mahajanga,MG,75.2,light rain,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
667,Cockburn Town,TC,82.13,overcast clouds,21.46,-71.14,Osprey Beach Hotel
668,Mindupok,PH,77.18,overcast clouds,6.09,124.42,Nasser beach resort
670,Wanning,CN,82.22,broken clouds,18.8,110.4,Paradise Hotel
673,Farkhor,TJ,72.01,overcast clouds,37.49,69.4,Khonai Abdulkhayrov
675,Andros Town,BS,83.55,moderate rain,24.7,-77.77,Hanks place
676,Turbat,PK,88.52,clear sky,26.0,63.04,Mubashar Quarters
677,Bagado,CO,85.91,overcast clouds,5.41,-76.42,Estacion De Policia Bagado
678,Makat,KZ,79.56,broken clouds,47.65,53.35,Umit
680,Mogadishu,SO,79.03,overcast clouds,2.04,45.34,Hotel Juba
681,Dalfsen,NL,72.18,overcast clouds,52.5,6.25,Het Klooster van Dalfsen
684,Akyab,MM,80.08,light rain,20.15,92.9,Hotel Memory
685,Acarigua,VE,79.92,overcast clouds,9.55,-69.2,Edificio La Corteza
686,Nago,JP,81.03,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
689,Puerto Colombia,CO,82.85,few clouds,10.99,-74.95,Hotel El Emigrante
690,Tubmanburg,LR,74.39,scattered clouds,6.87,-10.82,LITTLE WAY GUEST HOUSE
691,Morden,CA,82.09,broken clouds,49.19,-98.1,Morden Motor Inn
692,Mantua,IT,83.08,clear sky,45.17,10.78,Hotel la Favorita
694,Unjha,IN,88.29,few clouds,23.8,72.4,Shree Umiya Mataji Guest House Unjha
697,Havelock,US,89.98,clear sky,34.88,-76.9,Sherwood Motel
699,Malakal,SS,80.89,overcast clouds,9.53,31.66,Nile Palace Hotel
